Frequency (Hz)	Level (dB)
46.875000	-58.861141
93.750000	-53.728794
140.625000	-57.777748
187.500000	-64.134445
234.375000	-63.941658
281.250000	-66.224052
328.125000	-66.262535
375.000000	-66.778542
421.875000	-65.721039
468.750000	-62.428204
515.625000	-60.853863
562.500000	-62.316097
609.375000	-61.781471
656.250000	-61.398834
703.125000	-63.147930
750.000000	-68.479507
796.875000	-71.334869
843.750000	-71.030983
890.625000	-72.705376
937.500000	-69.568977
984.375000	-69.184792
1031.250000	-68.247932
1078.125000	-67.024956
1125.000000	-67.550552
1171.875000	-70.514404
1218.750000	-71.752487
1265.625000	-72.437340
1312.500000	-71.891220
1359.375000	-71.632973
1406.250000	-70.556961
1453.125000	-67.704750
1500.000000	-66.977272
1546.875000	-71.088638
1593.750000	-72.452263
1640.625000	-69.993446
1687.500000	-69.904465
1734.375000	-73.262245
1781.250000	-74.651566
1828.125000	-74.691566
1875.000000	-75.059891
1921.875000	-74.802277
1968.750000	-71.426453
2015.625000	-70.787628
2062.500000	-70.776146
2109.375000	-68.904572
2156.250000	-68.005646
2203.125000	-70.512901
2250.000000	-72.008492
2296.875000	-72.627930
2343.750000	-73.210907
2390.625000	-73.377060
2437.500000	-74.703247
2484.375000	-74.553947
2531.250000	-74.058365
2578.125000	-75.206696
2625.000000	-75.920181
2671.875000	-76.751831
2718.750000	-76.671303
2765.625000	-75.686684
2812.500000	-74.507393
2859.375000	-73.453430
2906.250000	-73.820839
2953.125000	-73.161285
3000.000000	-72.216583
3046.875000	-72.783676
3093.750000	-73.938965
3140.625000	-74.110870
3187.500000	-72.716423
3234.375000	-72.708328
3281.250000	-73.798126
3328.125000	-72.243187
3375.000000	-72.382240
3421.875000	-70.556480
3468.750000	-71.402855
3515.625000	-74.332214
3562.500000	-76.697624
3609.375000	-75.920464
3656.250000	-74.752945
3703.125000	-75.336044
3750.000000	-76.026993
3796.875000	-76.091255
3843.750000	-76.670906
3890.625000	-78.027702
3937.500000	-78.100586
3984.375000	-77.530373
4031.250000	-76.966400
4078.125000	-76.863716
4125.000000	-77.533470
4171.875000	-78.735725
4218.750000	-78.609497
4265.625000	-78.703819
4312.500000	-80.158737
4359.375000	-80.120285
4406.250000	-79.667084
4453.125000	-79.622559
4500.000000	-78.824074
4546.875000	-78.901665
4593.750000	-80.086243
4640.625000	-80.595154
4687.500000	-79.878616
4734.375000	-78.187485
4781.250000	-77.653595
4828.125000	-78.031982
4875.000000	-78.177696
4921.875000	-78.984001
4968.750000	-79.998657
5015.625000	-80.749939
5062.500000	-80.246178
5109.375000	-79.500023
5156.250000	-80.627617
5203.125000	-81.705627
5250.000000	-80.912712
5296.875000	-80.197830
5343.750000	-81.348892
5390.625000	-80.597244
5437.500000	-79.247917
5484.375000	-79.336472
5531.250000	-79.777527
5578.125000	-80.428185
5625.000000	-81.851791
5671.875000	-81.230621
5718.750000	-81.134865
5765.625000	-81.328346
5812.500000	-81.212975
5859.375000	-80.409973
5906.250000	-79.782181
5953.125000	-80.009712
6000.000000	-79.196953
6046.875000	-78.885895
6093.750000	-78.481598
6140.625000	-78.964798
6187.500000	-79.513268
6234.375000	-80.370193
6281.250000	-79.876915
6328.125000	-80.389755
6375.000000	-81.261925
6421.875000	-81.880516
6468.750000	-82.282211
6515.625000	-83.070229
6562.500000	-83.389793
6609.375000	-83.690102
6656.250000	-83.882935
6703.125000	-84.098091
6750.000000	-84.289070
6796.875000	-84.281052
6843.750000	-83.779076
6890.625000	-83.287506
6937.500000	-83.116203
6984.375000	-82.548279
7031.250000	-82.523514
7078.125000	-83.440887
7125.000000	-84.537247
7171.875000	-85.157951
7218.750000	-85.786049
7265.625000	-86.769356
7312.500000	-87.353142
7359.375000	-88.055183
7406.250000	-88.058159
7453.125000	-87.740601
7500.000000	-87.668701
7546.875000	-87.976830
7593.750000	-88.453583
7640.625000	-89.000969
7687.500000	-89.516876
7734.375000	-90.092712
7781.250000	-90.674026
7828.125000	-90.853958
7875.000000	-91.162415
7921.875000	-91.196625
7968.750000	-91.170471
8015.625000	-90.880142
8062.500000	-90.888588
8109.375000	-91.166977
8156.250000	-91.829170
8203.125000	-92.254539
8250.000000	-92.236809
8296.875000	-92.525803
8343.750000	-92.550949
8390.625000	-92.512924
8437.500000	-92.614609
8484.375000	-92.711037
8531.250000	-93.237289
8578.125000	-93.294151
8625.000000	-93.155128
8671.875000	-93.021606
8718.750000	-93.150116
8765.625000	-93.229088
8812.500000	-93.803398
8859.375000	-94.138802
8906.250000	-94.381325
8953.125000	-94.378433
9000.000000	-94.546265
9046.875000	-94.702324
9093.750000	-94.861832
9140.625000	-94.667580
9187.500000	-94.740791
9234.375000	-94.702164
9281.250000	-94.500404
9328.125000	-94.013733
9375.000000	-92.973274
9421.875000	-92.730431
9468.750000	-93.347336
9515.625000	-93.303314
9562.500000	-93.027840
9609.375000	-92.856575
9656.250000	-93.030258
9703.125000	-92.905228
9750.000000	-92.841980
9796.875000	-92.359421
9843.750000	-91.543465
9890.625000	-92.066551
9937.500000	-92.567734
9984.375000	-92.959274
10031.250000	-93.355957
10078.125000	-93.523674
10125.000000	-94.025337
10171.875000	-94.292458
10218.750000	-94.045158
10265.625000	-94.056313
10312.500000	-93.951523
10359.375000	-94.139839
10406.250000	-94.354668
10453.125000	-93.971802
10500.000000	-93.555321
10546.875000	-93.847069
10593.750000	-93.439087
10640.625000	-92.943352
10687.500000	-92.363426
10734.375000	-92.443092
10781.250000	-92.435287
10828.125000	-92.262115
10875.000000	-92.265457
10921.875000	-92.172630
10968.750000	-92.517082
11015.625000	-92.767639
11062.500000	-92.658508
11109.375000	-93.435410
11156.250000	-93.395088
11203.125000	-93.053185
11250.000000	-93.293732
11296.875000	-93.235680
11343.750000	-93.144875
11390.625000	-92.877663
11437.500000	-92.481689
11484.375000	-92.424492
11531.250000	-92.833603
11578.125000	-92.737541
11625.000000	-92.636871
11671.875000	-92.749496
11718.750000	-92.866638
11765.625000	-92.786331
11812.500000	-92.643631
11859.375000	-92.275948
11906.250000	-92.318520
11953.125000	-92.158867
12000.000000	-92.029312
12046.875000	-92.295914
